#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Thu Mar 14 00:42:36 2024
# Process ID: 41358
# Current directory: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc
# Command line: xsim -mode tcl -source {xsim.dir/tb_fsic_xelab/xsim_script.tcl}
# Log file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.log
# Journal file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.jou
# Running On: roy-VirtualBox, OS: Linux, CPU Frequency: 2999.996 MHz, CPU Physical cores: 2, Host memory: 10425 MB
#-----------------------------------------------------------
source xsim.dir/tb_fsic_xelab/xsim_script.tcl
# xsim {tb_fsic_xelab} -autoloadwcfg -tclbatch {log_wave.tcl}
Time resolution is 1 ps
open_wave_config /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/tb_fsic_xelab.wcfg
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_next_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_widthIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_heightIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_sw_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_rst was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
source log_wave.tcl
## log_wave -quiet -verbose -recursive *
## run all
Test#1: FIR initialization from SOC side
fsci_system_initial: TX/RX test
LENGTH =        600
tst_in_buf[          0] =           1
tst_out_buf[          0] =           0
tst_in_buf[          1] =           2
tst_out_buf[          1] =         -10
tst_in_buf[          2] =           3
tst_out_buf[          2] =         -29
tst_in_buf[          3] =           4
tst_out_buf[          3] =         -25
tst_in_buf[          4] =           5
tst_out_buf[          4] =          35
tst_in_buf[          5] =           6
tst_out_buf[          5] =         158
tst_in_buf[          6] =           7
tst_out_buf[          6] =         337
tst_in_buf[          7] =           8
tst_out_buf[          7] =         539
tst_in_buf[          8] =           9
tst_out_buf[          8] =         732
tst_in_buf[          9] =          10
tst_out_buf[          9] =         915
tst_in_buf[         10] =          11
tst_out_buf[         10] =        1098
tst_in_buf[         11] =          12
tst_out_buf[         11] =        1281
tst_in_buf[         12] =          13
tst_out_buf[         12] =        1464
tst_in_buf[         13] =          14
tst_out_buf[         13] =        1647
tst_in_buf[         14] =          15
tst_out_buf[         14] =        1830
tst_in_buf[         15] =          16
tst_out_buf[         15] =        2013
tst_in_buf[         16] =          17
tst_out_buf[         16] =        2196
tst_in_buf[         17] =          18
tst_out_buf[         17] =        2379
tst_in_buf[         18] =          19
tst_out_buf[         18] =        2562
tst_in_buf[         19] =          20
tst_out_buf[         19] =        2745
tst_in_buf[         20] =          21
tst_out_buf[         20] =        2928
tst_in_buf[         21] =          22
tst_out_buf[         21] =        3111
tst_in_buf[         22] =          23
tst_out_buf[         22] =        3294
tst_in_buf[         23] =          24
tst_out_buf[         23] =        3477
tst_in_buf[         24] =          25
tst_out_buf[         24] =        3660
tst_in_buf[         25] =          26
tst_out_buf[         25] =        3843
tst_in_buf[         26] =          27
tst_out_buf[         26] =        4026
tst_in_buf[         27] =          28
tst_out_buf[         27] =        4209
tst_in_buf[         28] =          29
tst_out_buf[         28] =        4392
tst_in_buf[         29] =          30
tst_out_buf[         29] =        4575
tst_in_buf[         30] =          31
tst_out_buf[         30] =        4758
tst_in_buf[         31] =          32
tst_out_buf[         31] =        4941
tst_in_buf[         32] =          33
tst_out_buf[         32] =        5124
tst_in_buf[         33] =          34
tst_out_buf[         33] =        5307
tst_in_buf[         34] =          35
tst_out_buf[         34] =        5490
tst_in_buf[         35] =          36
tst_out_buf[         35] =        5673
tst_in_buf[         36] =          37
tst_out_buf[         36] =        5856
tst_in_buf[         37] =          38
tst_out_buf[         37] =        6039
tst_in_buf[         38] =          39
tst_out_buf[         38] =        6222
tst_in_buf[         39] =          40
tst_out_buf[         39] =        6405
tst_in_buf[         40] =          41
tst_out_buf[         40] =        6588
tst_in_buf[         41] =          42
tst_out_buf[         41] =        6771
tst_in_buf[         42] =          43
tst_out_buf[         42] =        6954
tst_in_buf[         43] =          44
tst_out_buf[         43] =        7137
tst_in_buf[         44] =          45
tst_out_buf[         44] =        7320
tst_in_buf[         45] =          46
tst_out_buf[         45] =        7503
tst_in_buf[         46] =          47
tst_out_buf[         46] =        7686
tst_in_buf[         47] =          48
tst_out_buf[         47] =        7869
tst_in_buf[         48] =          49
tst_out_buf[         48] =        8052
tst_in_buf[         49] =          50
tst_out_buf[         49] =        8235
tst_in_buf[         50] =          51
tst_out_buf[         50] =        8418
tst_in_buf[         51] =          52
tst_out_buf[         51] =        8601
tst_in_buf[         52] =          53
tst_out_buf[         52] =        8784
tst_in_buf[         53] =          54
tst_out_buf[         53] =        8967
tst_in_buf[         54] =          55
tst_out_buf[         54] =        9150
tst_in_buf[         55] =          56
tst_out_buf[         55] =        9333
tst_in_buf[         56] =          57
tst_out_buf[         56] =        9516
tst_in_buf[         57] =          58
tst_out_buf[         57] =        9699
tst_in_buf[         58] =          59
tst_out_buf[         58] =        9882
tst_in_buf[         59] =          60
tst_out_buf[         59] =       10065
tst_in_buf[         60] =          61
tst_out_buf[         60] =       10248
tst_in_buf[         61] =          62
tst_out_buf[         61] =       10431
tst_in_buf[         62] =          63
tst_out_buf[         62] =       10614
tst_in_buf[         63] =          64
tst_out_buf[         63] =       10797
tst_in_buf[         64] =          65
tst_out_buf[         64] =       10980
tst_in_buf[         65] =          66
tst_out_buf[         65] =       11163
tst_in_buf[         66] =          67
tst_out_buf[         66] =       11346
tst_in_buf[         67] =          68
tst_out_buf[         67] =       11529
tst_in_buf[         68] =          69
tst_out_buf[         68] =       11712
tst_in_buf[         69] =          70
tst_out_buf[         69] =       11895
tst_in_buf[         70] =          71
tst_out_buf[         70] =       12078
tst_in_buf[         71] =          72
tst_out_buf[         71] =       12261
tst_in_buf[         72] =          73
